sim_time_s,v_bus_v,soc_pct,i_batt_a,p_batt_w,p_load_w,p_source_w,source_at_limit,p_batt_ref_w,state_code,charge_headroom_w,p_load_nominal_w,voltage_error_v,llm_mode_code,llm_requested_power_w,llm_command_valid,llm_command_seq,llm_command_age_s
90.928,399.999999999998,15.008043106825,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002034,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.929,399.999999999998,15.0080430560509,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002043,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.93,399.999999999997,15.0080430052768,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002052,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.931,399.999999999997,15.0080429545028,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002062,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.932,400.000000000003,15.0080429037287,0.0593749999999996,24.9999999912732,-500.000000000004,476.250000001831,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.933,400.000000000009,15.0080428529546,0.0593749999999987,24.9999999912731,-500.000000000011,476.250000001588,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.934,400.000000000009,15.0080428021806,0.0593749999999987,24.9999999912732,-500.000000000011,476.250000001574,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.935,400.000000000006,15.0080427514065,0.0593749999999992,24.9999999912732,-500.000000000007,476.250000001677,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.936,400.000000000003,15.0080427006324,0.0593749999999996,24.9999999912731,-500.000000000004,476.250000001786,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.937,400,15.0080426498584,0.0593750000000001,24.9999999912732,-500,476.25000000191,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.938,400,15.0080425990843,0.0593750000000001,24.9999999912732,-500,476.250000001915,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.939,400,15.0080425483103,0.0593750000000001,24.9999999912732,-499.999999999999,476.25000000192,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.94,399.999999999999,15.0080424975362,0.0593750000000001,24.9999999912732,-499.999999999999,476.250000001926,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.941,399.999999999999,15.0080424467621,0.0593750000000001,24.9999999912732,-499.999999999999,476.250000001932,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.942,399.999999999999,15.0080423959881,0.0593750000000001,24.9999999912732,-499.999999999999,476.250000001938,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.943,399.999999999999,15.008042345214,0.0593750000000002,24.9999999912732,-499.999999999999,476.250000001944,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.944,399.999999999999,15.0080422944399,0.0593750000000002,24.9999999912732,-499.999999999999,476.25000000195,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.945,399.999999999999,15.0080422436659,0.0593750000000002,24.9999999912732,-499.999999999999,476.250000001957,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.946,399.999999999999,15.0080421928918,0.0593750000000002,24.9999999912732,-499.999999999998,476.250000001964,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.947,399.999999999999,15.0080421421177,0.0593750000000002,24.9999999912732,-499.999999999998,476.250000001971,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.948,399.999999999999,15.0080420913437,0.0593750000000002,24.9999999912732,-499.999999999998,476.250000001979,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.949,399.999999999998,15.0080420405696,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000001986,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.95,399.999999999998,15.0080419897955,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000001994,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.951,399.999999999998,15.0080419390215,0.0593750000000003,24.9999999912732,-499.999999999998,476.250000002002,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.952,399.999999999998,15.0080418882474,0.0593750000000003,24.9999999912732,-499.999999999998,476.25000000201,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.953,399.999999999998,15.0080418374733,0.0593750000000003,24.9999999912732,-499.999999999997,476.250000002019,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.954,399.999999999998,15.0080417866993,0.0593750000000003,24.9999999912732,-499.999999999997,476.250000002028,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.955,399.999999999998,15.0080417359252,0.0593750000000004,24.9999999912731,-499.999999999997,476.250000002036,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.956,399.999999999998,15.0080416851511,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002046,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.957,399.999999999997,15.0080416343771,0.0593750000000004,24.9999999912732,-499.999999999997,476.250000002055,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.958,400.000000000003,15.008041583603,0.0593749999999995,24.9999999912732,-500.000000000004,476.250000001823,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.959,400.000000000009,15.0080415328289,0.0593749999999987,24.9999999912731,-500.000000000011,476.25000000158,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
90.96,400.000000000009,15.0080414820549,0.0593749999999987,24.9999999912732,-500.000000000011,476.250000001567,0,25,2,0,500,0,NaN,NaN,NaN,NaN,NaN
